"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"0400000US35","New Mexico","2027626","3198","516495","8710","27671","2741","24362","2944","105805","5231","118347","5689","106957","4227","105715","6404","27638","2728","1511131","8520"
"0400000US36","New York","18794281","10082","4594259","19679","293750","9625","220364","9911","846114","11790","916532","11617","944207","11495","1071424","14351","301868","10664","14200022","19024"
"0400000US37","North Carolina","10147231","7585","2556961","17528","152450","7364","120219","7095","494853","9801","543387","9931","540099","9872","578192","11738","127761","6782","7590270","17134"
"0400000US38","North Dakota","731445","2253","187040","4061","9991","1438","8251","1435","37767","2586","39491","2874","35207","2629","46309","3370","10024","1652","544405","4345"
"0400000US39","Ohio","11288040","6878","2771284","16540","184171","6934","141535","6490","550585","10560","585566","10614","589542","7236","581547","14089","138338","7247","8516756","15565"
"0400000US40","Oklahoma","3810097","3491","999896","7512","64349","3585","55802","3804","214627","4802","223196","6812","209546","4069","192580","6144","39796","3453","2810201","8300"
"0400000US41","Oregon","4090528","4673","947627","10956","58703","4564","48408","4102","186728","6369","199267","7013","194947","5620","209253","7765","50321","3967","3142901","10537"
"0400000US42","Pennsylvania","12394896","7434","2896469","15773","182378","7061","135543","6065","562342","9111","609802","10816","614072","8004","621464","11089","170868","7482","9498427","16505"
"0400000US44","Rhode Island","1028128","2573","253795","4980","14013","2148","11170","1943","40148","2836","49617","3535","48449","2653","74656","4213","15742","2236","774333","5055"
"0400000US45","South Carolina","4976415","4390","1180396","11439","59581","4620","62015","4271","248733","8931","264830","8061","253806","5983","236545","9081","54886","4793","3796019","11035"
